meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
10,30000,,Terreno rústico,https://www.indomio.es/anuncios/92120053/,Beires,Venta,Hermanos  Polo López,660095566,,AL-4402
11,150000,,Terreno rústico,https://www.indomio.es/anuncios/93673199/,Albox,Venta,,630946018,,Paraje Los Chorlitos
104,250000,,Terreno rústico,https://www.indomio.es/anuncios/89904293/,Castañar de Ibor,Venta,,619223737,,La Avellaneda
70,9999999,,Terreno rústico,https://www.indomio.es/anuncios/92401499/,San Roque,Venta,,625501211,,CA-9203
10,75000,,Terreno urbanizable,https://www.indomio.es/anuncios/94975513/,Córdoba,Venta,,620982758,,Calle San Ambrosio
84,205000,,Terreno rústico,https://www.indomio.es/anuncios/94867493/,Algodonales,Venta,,697745678,,Calle Alcalá del Valle
1,65000,,Terreno urbanizable,https://www.indomio.es/anuncios/91341483/,Capmany,Venta,,,,Carrer El Ventador
391,120000,,Terreno urbanizable,https://www.indomio.es/anuncios/94703181/,Santa Margarida i Els Monjos,Venta,,646908591,,Carrer Sant Ramon de Penyafort
1,68000,,Terreno urbanizable,https://www.indomio.es/anuncios/94902569/,Seva,Venta,,629984667,,Avinguda Joan Miró
100,32900,,Terreno urbanizable,https://www.indomio.es/anuncios/93584339/,El Ejido,Venta,,686490891,,Calle Sacromonte
120,70000,,Terreno urbanizable,https://www.indomio.es/anuncios/94922047/,Pechina,Venta,,,,Calle Cuesta de los Baños
120,41500,,Terreno urbanizable,https://www.indomio.es/anuncios/95590447/,Arcos de la Frontera,Venta,,675201203,,Calle Alc. Manuel García Sañudo
1,45000,,Terreno rústico,https://www.indomio.es/anuncios/95321613/,Córdoba,Venta,,610806854,,Camino Pozo de San Lorenzo
7,8000,,Terreno rústico,https://www.indomio.es/anuncios/95660427/,Arredondo,Venta,,,,Arredondo
11,70000,,Terreno rústico,https://www.indomio.es/anuncios/95034735/,Córdoba,Venta | Inmueble con ingresos,,,,Calle Santa Ana de la Albaida
36,367210,,Terreno urbanizable,https://www.indomio.es/anuncios/90786867/,Voto,Venta,,649469521,,Barrio San Mamés de Aras Naveda
360,399000,,Terreno urbanizable,https://www.indomio.es/anuncios/91976279/,Hazas de Cesto,Venta,,,,Barrio El Rincón
1,562500,,Terreno urbanizable,https://www.indomio.es/anuncios/91930031/,Moncofa,Venta,,656909784,,Calle Ausiás March
