meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
210,85000,1,Caserío ,https://www.indomio.es/anuncios/92281941/,Vimianzo,Venta,,,5,Campolongo
70,40000,1,Casa adosada ,https://www.indomio.es/anuncios/94023507/,Vilasantar,Venta,,,4,Lugar Foro
137,55000,1,Casa adosada ,https://www.indomio.es/anuncios/93440835/,Calamocha,Venta,,https://media.indomio.es/text/tel_93440835_1d414.jpg?k=d708b00da23bf397af5d9fd289b151f5,6,Calle Ramón y Cajal
400,190000,1,Chalet ,https://www.indomio.es/anuncios/95749107/,Calatayud,Venta,,https://media.indomio.es/text/tel_95749107_a3e3f.jpg?k=3503ee0238408d48cdbb054b6746ad63,5,Marivella -  Marivella - Huérmeda - Embid de la Ribera
730,690000,3,Edificio ,https://www.indomio.es/anuncios/89001831/,Aniñón,Venta | Inmueble con ingresos | Alquiler con opción a compra,,,8,Plaza Iglesia - Hotel en Venta
124,100000,2,Dúplex ,https://www.indomio.es/anuncios/90987821/,Andorra,Venta,,,7,Avenida Dos de Mayo
65,89000,1,Piso ,https://www.indomio.es/anuncios/81963021/,Zamora,Venta,,https://media.indomio.es/text/tel_81963021_e8cc2.jpg?k=420a75ccf00f21b0b065e6905ed2fd5e,3,Avenida de Valladolid -  Ciudad Jardín-Vista Alegre
101,199000,2,Piso ,https://www.indomio.es/anuncios/95157061/,Valladolid,Venta,Mercedes Peña,https://media.indomio.es/text/tel_95157061_5358f.jpg?k=f1b24e79de58759f247968fc4b9bb124,5,Calle Aneto -  Pinar de Jalón
220,319000,3,Casa adosada ,https://www.indomio.es/anuncios/95875061/,Valladolid,Venta,,,8,Calle Hernando de Acuña -  Parquesol
100,65000,2,Local comercial,https://www.indomio.es/anuncios/94419243/,Zaragoza,Venta,,,5,Calle Obispo Tajón
10,20000,,Terreno urbanizable,https://www.indomio.es/anuncios/88577027/,Micereces de Tera,Venta,Juan m Diez Diez,https://media.indomio.es/text/tel_88577027_01b7d.jpg?k=350522b557bf1ef39e2b3777d084f1fa,,Calle Tras las Casas
12,12500,,Plaza de aparcamiento,https://www.indomio.es/anuncios/93525429/,Durango,Venta,,,,Calle Kurutziaga - Aparcamiento coche - moto en Venta
225,29000,1,Casa unifamiliar ,https://www.indomio.es/anuncios/91704155/,Alloza,Venta,,,6,Calle Hospital
250,185000,2,Chalet ,https://www.indomio.es/anuncios/82746825/,San Cebrián de Castro,Venta,,https://media.indomio.es/text/tel_82746825_b827e.jpg?k=535909b0f95165b2b8d8d8ca2fd95eb9,7,Calle Zamora
555,65000,,Terreno urbanizable,https://www.indomio.es/anuncios/93440957/,Magallón,Venta,,https://media.indomio.es/text/tel_93440957_5b19d.jpg?k=f3e787eb817028c16ca873c4dc3d6d4b,,Avenida Borja
492,50000,,Terreno urbanizable,https://www.indomio.es/anuncios/93519329/,Fabara,Venta,,https://media.indomio.es/text/tel_93519329_a8676.jpg?k=d40da1c5c365ad589c955a25fbb577d8,,Calle Penal
289,175000,3,Casa rústica ,https://www.indomio.es/anuncios/93855213/,Valdealgorfa,Venta | Inmueble con ingresos,,,8,Calle Navarra
183,185000,2,Chalet ,https://www.indomio.es/anuncios/95505229/,Valladolid,Venta,,https://media.indomio.es/text/tel_95505229_16592.jpg?k=3f29c2dc812b37dc2989a3e9bc8f51ac,5,Calle La 41 -  Fuente Berrocal-La Overuela
21,35000,,Garaje - Aparcamiento,https://www.indomio.es/anuncios/95953275/,Sopela,Venta,Kima Gestión Integral,https://media.indomio.es/text/tel_95953275_4b3b0.jpg?k=e044c34f68340c6a94eb243b9191b225,,Calle Errekagane - Garaje en Venta
110,31000,,Nave,https://www.indomio.es/anuncios/94873425/,Zaragoza,Venta,,https://media.indomio.es/text/tel_94873425_94904.jpg?k=0dfbdcbdbe307bd36820905acfc27fde,,Calle San Ramón
11,20000,,Terreno rústico,https://www.indomio.es/anuncios/93923423/,Almeida de Sayago,Venta,,https://media.indomio.es/text/tel_93923423_bc0d4.jpg?k=1b422acfe37faebd336165316853aec7,,Calle Molinos
123,196500,2,Piso ,https://www.indomio.es/anuncios/92728505/,Benavente,Venta,,https://media.indomio.es/text/tel_92728505_93b54.jpg?k=7dd11ad66aaded8435d1a90bad56188a,6,Avenida El Ferial
162,55000,2,Casa pareada ,https://www.indomio.es/anuncios/93874143/,Torralba de los Sisones,Venta,,https://media.indomio.es/text/tel_93874143_94698.jpg?k=f52a7e74bfb083ba5c9ab67b139437aa,5,Calle Pilar
120,225000,2,Piso ,https://www.indomio.es/anuncios/93047529/,Zaragoza,Venta,,https://media.indomio.es/text/tel_93047529_a0180.jpg?k=c99d27ec52f620f9fe282f43a39e1ab5,6,Calle Celanova -  Delicias
89,185000,1,Piso ,https://www.indomio.es/anuncios/95260801/,Zaragoza,Venta,,https://media.indomio.es/text/tel_95260801_b8366.jpg?k=33f132afbfa3884078e7dd963e7e9f90,5,Calle Vidal de Canellas -  Delicias
5,18750,,Terreno rústico,https://www.indomio.es/anuncios/94784329/,Villaralbo,Venta,Miguel Alba,https://media.indomio.es/text/tel_94784329_35033.jpg?k=3c9560fd8289d7985b2284e40fb0d825,1,Urbanización Las Cabañas
10,22000,,Plaza de aparcamiento ,https://www.indomio.es/anuncios/90916095/,Zaragoza,Venta,,https://media.indomio.es/text/tel_90916095_4aa38.jpg?k=98e0e28f294ec5634a75bdafdecd517f,,Calle Ildefonso Manuel Gil - Aparcamiento coche - moto en Venta
441,13000,1,Casa rústica,https://www.indomio.es/anuncios/91995045/,Fortanete,Venta,,,2,Calle Nevera
72,80000,1,Piso ,https://www.indomio.es/anuncios/93839749/,Alcorisa,Venta,,,3,Calle Las Arribas
12,21000,,Plaza de aparcamiento ,https://www.indomio.es/anuncios/92198219/,Balmaseda,Venta,,,,Avenida Encartaciones - Aparcamiento coche - moto en Venta
200,22000,,Edificio ,https://www.indomio.es/anuncios/92245607/,Bañón,Venta,,https://media.indomio.es/text/tel_92245607_1bf42.jpg?k=d08556cd022478e71de48a61ac41f10c,4,Calle San Valero
480,75000,1,Casa rústica ,https://www.indomio.es/anuncios/95950225/,Fuentes Claras,Venta,,,5,Calle San Salvador III
10,7500,,Garaje - Aparcamiento ,https://www.indomio.es/anuncios/90065139/,La Font d'en Carròs,Venta | Alquiler con opción a compra,,,,Calle Enric Valor - Garaje en Venta
65,28000,,Casa unifamiliar ,https://www.indomio.es/anuncios/92836981/,Andorra,Venta,,https://media.indomio.es/text/tel_92836981_c47c3.jpg?k=2b12843499c0196a94c956e712055226,,Calle Mosén Francisco
225,75000,2,Local comercial,https://www.indomio.es/anuncios/93585941/,Tarazona,Venta,,https://media.indomio.es/text/tel_93585941_a6a8b.jpg?k=5191c3ae943edd500aea0a43dbfa4b24,2,Plaza La Seo
120,54999,1,Local comercial,https://www.indomio.es/anuncios/94427359/,Zaragoza,Venta | Alquiler con opción a compra,,,5,Calle Porvenir
98,35000,1,Piso ,https://www.indomio.es/anuncios/95331771/,Andorra,Venta,,https://media.indomio.es/text/tel_95331771_2058e.jpg?k=c5e036c63d71e7d8e208b70ef74e4b8d,4,Plaza Autonomía Aragonesa
13,14000,,Garaje - Aparcamiento ,https://www.indomio.es/anuncios/92202489/,Zaragoza,Venta,,https://media.indomio.es/text/tel_92202489_80c78.jpg?k=8553e59ee07bba28aede137b342ac58b,,Calle Marte - Garaje en Venta
1,12000,,Terreno urbanizable,https://www.indomio.es/anuncios/95174653/,Villalobos,Venta,,https://media.indomio.es/text/tel_95174653_a3265.jpg?k=edbf6fce4fcbd58a1d358ddee93dc099,,Calle Fuente del Caño
738,575000,,Terreno urbanizable,https://www.indomio.es/anuncios/94768653/,Zamora,Venta,,https://media.indomio.es/text/tel_94768653_1184c.jpg?k=9be8e0e032289b97ff3cc7627d1da062,,Avenida de Galicia
10,23000,,Garaje - Aparcamiento ,https://www.indomio.es/anuncios/95781705/,València,Venta,,,,El Grau - Calle de la Serrería - Garaje en Venta
680,49000,,Terreno urbanizable,https://www.indomio.es/anuncios/89723749/,Montamarta,Venta,,,,Calle La Ermita
