meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
82,1200,1,Piso ,https://www.indomio.es/anuncios/95943351/,San Sebastián de los Reyes,Alquiler,,https://media.indomio.es/text/tel_95943351_0759f.jpg?k=ac681bec5250fba18c668415c7bfc7fe,2, primera planta
116,1100,,Piso ,https://www.indomio.es/anuncios/96009791/,Torrejón de Ardoz,Alquiler,,https://media.indomio.es/text/tel_96009791_a27df.jpg?k=2eda2777195d592ea355c269b52440f9,3,Calle de la Rioja -  Zona Noreste
68,870,1,Piso ,https://www.indomio.es/anuncios/94138785/,Alcalá de Henares,Alquiler,,,4,"Colonia, Avenida de Meco - Calle Ávila -  Colonia"
73,975,1,Piso ,https://www.indomio.es/anuncios/95165567/,Alcalá de Henares,Alquiler,,https://media.indomio.es/text/tel_95165567_fafd9.jpg?k=0a60e9404345afd96967fef39105039a,3,Garena - Calle Barbados -  Garena
56,800,1,Piso ,https://www.indomio.es/anuncios/94655055/,Móstoles,Alquiler,,,3,Calle Petunia -  Norte-Universidad
116,1500,2,Piso ,https://www.indomio.es/anuncios/91993657/,Las Rozas de Madrid,Alquiler,,,5,Calle Higuera -  El Cantizal
100,1600,2,Ático ,https://www.indomio.es/anuncios/95472161/,Las Rozas de Madrid,Alquiler,,https://media.indomio.es/text/tel_95472161_0ea32.jpg?k=78bf78d7ae5a24b0d4321198cf6a27b1,5,Calle Cervantes -  Centro
140,1650,2,Piso ,https://www.indomio.es/anuncios/92749071/,Pozuelo de Alarcón,Alquiler,,,5,Calle Tubo -  Somosaguas-Húmera-Los Ángeles
91,930,2,Piso ,https://www.indomio.es/anuncios/95145039/,Getafe,Alquiler,,https://media.indomio.es/text/tel_95145039_8404a.jpg?k=d56f71f109aa0a88a22f82436d5aaec0,5,Calle San Sebastián -  Las Margaritas-Universidad
96,1100,2,Piso,https://www.indomio.es/anuncios/95997225/,Fuenlabrada,Alquiler,,https://media.indomio.es/text/tel_95997225_3ce7f.jpg?k=e879c67a5fe350edbd33325b5309e7bf,5,Calle de Nazaret -  Naranjo-La Serna
78,1200,1,Piso ,https://www.indomio.es/anuncios/93014321/,Pozuelo de Alarcón,Alquiler,,,3,Calle García Martín -  Estación-Zona Norte
76,750,1,Piso ,https://www.indomio.es/anuncios/94283029/,Galapagar,Alquiler,,,3,Calle Casa Veleta -  Centro
265,1850,3,Casa adosada ,https://www.indomio.es/anuncios/93964043/,Las Rozas de Madrid,Alquiler,,https://media.indomio.es/text/tel_93964043_e8c3f.jpg?k=f8a98d1ec6d46dc2868990c5033c0bfa,8,Calle Flandes -  Yucatán-La Cornisa
100,1150,1,Piso ,https://www.indomio.es/anuncios/95495969/,Las Rozas de Madrid,Alquiler,,,4,Calle Tulipán -  Marazuela-El Torreón
115,1000,2,Piso ,https://www.indomio.es/anuncios/93813227/,Getafe,Alquiler,,,4,Calle de los Arquitectos -  Las Margaritas-Universidad
80,925,2,Piso ,https://www.indomio.es/anuncios/95069119/,Galapagar,Alquiler,,https://media.indomio.es/text/tel_95069119_7bcb1.jpg?k=775de685c96208d5979490cbd65d8a05,4,Calle Pintor Rafael Botí -  Centro
41,1360,,Piso ,https://www.indomio.es/anuncios/95333189/,Madrid,Alquiler,,https://media.indomio.es/text/tel_95333189_ed87d.jpg?k=ab7f5d13fa0861de28034735271094b6,,Trafalgar - Calle de Santísima Trinidad - Estudio Calle de Santísima Trinidad 2
100,1980,2,Piso ,https://www.indomio.es/anuncios/95113499/,Madrid,Alquiler,,,6,Cuatro Caminos - Calle de Orense -  Cuatro Caminos
25,600,1,Piso ,https://www.indomio.es/anuncios/94490349/,Aranjuez,Alquiler,,https://media.indomio.es/text/tel_94490349_fd17b.jpg?k=4def496494149db79e3457bb64676130,3,Calle de la Concha -  Centro
45,1200,,Piso,https://www.indomio.es/anuncios/94828441/,Madrid,Alquiler,Bon Thierry,,2,Recoletos - Calle de Goya -  Recoletos
65,890,1,Piso,https://www.indomio.es/anuncios/95624043/,Getafe,Alquiler,,https://media.indomio.es/text/tel_95624043_6ad98.jpg?k=23a608a2c97e636db138fcca2ce1b635,2,Calle Pedro Pérez -  Las Margaritas-Universidad
40,600,1,Piso ,https://www.indomio.es/anuncios/95930737/,Aranjuez,Alquiler,Elena Sanchez-Valladares,https://media.indomio.es/text/tel_95930737_b6b69.jpg?k=c5620c3de2ae7554128f4b8e8585dd6e,3,Calle de la Primavera -  Centro
91,1350,2,Piso ,https://www.indomio.es/anuncios/92652751/,Madrid,Alquiler,,https://media.indomio.es/text/tel_92652751_50e92.jpg?k=207bae7bc9841d2d3fbf584aa5af00ec,4,Pacífico - Calle de Téllez -  Pacífico
80,720,1,Casa rústica ,https://www.indomio.es/anuncios/95554247/,Aranjuez,Alquiler,,,4,Sotomayor -  Foso-Moreras-AGFA
85,2200,1,Piso ,https://www.indomio.es/anuncios/94223183/,Madrid,Alquiler,,,5,Goya - Calle de Antonio López -  Goya
