meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
349,410.000,2,Casa unifamiliar ,https://www.indomio.es/anuncios/94809577/,Arteixo,Venta | Inmueble con ingresos,,https://media.indomio.es/text/tel_94809577_28d0d.jpg?k=42aba0ca8c8b1aafe6f521f5a2a852f8,7,Branquenza -  Loureda-Lañas-Barrañán
76,135.000,2,Piso ,https://www.indomio.es/anuncios/94884975/,Ares,Venta,,,5,Rúa Concepción Arenal
175,165.000,1,Piso ,https://www.indomio.es/anuncios/95085951/,Boiro,Venta,,https://media.indomio.es/text/tel_95085951_7368b.jpg?k=b01b50e14f63d3f4577116eace165fde,3,Avenida Barraña
150,130.000,2,Piso ,https://www.indomio.es/anuncios/95393411/,Boiro,Venta,,https://media.indomio.es/text/tel_95393411_9a8fb.jpg?k=faf54bf0c24d013017623c31cae6d2ef,4,Lugar Escarabote
210,85.000,1,Caserío ,https://www.indomio.es/anuncios/92281941/,Vimianzo,Venta,,,5,Campolongo
350,389.900,3,Chalet ,https://www.indomio.es/anuncios/94491905/,Bergondo,Venta,,https://media.indomio.es/text/tel_94491905_e542b.jpg?k=53ba23f7e95ca9f6aaa2da1ff7f11458,11,Estrada de Casal a San Isidro
144,39.000,,Casa adosada ,https://www.indomio.es/anuncios/95896997/,As Somozas,Venta,,,5,Cabalar
255,56.000,1,Casa rústica,https://www.indomio.es/anuncios/91610343/,As Somozas,Venta,,,5,O Freixeiro
80,130.000,1,Casa adosada ,https://www.indomio.es/anuncios/95783713/,Cabana de Bergantiños,Venta,,,3,Sinde
500,400.000,3,Casa unifamiliar,https://www.indomio.es/anuncios/94515227/,Teo,Venta,,,8,Mazas
160,298.000,3,Casa unifamiliar ,https://www.indomio.es/anuncios/95464985/,Sada (A Coruña),Venta,,,8,Camiño Praia de Cirro
2,120.000,,Casa unifamiliar ,https://www.indomio.es/anuncios/95939101/,Pontedeume,Venta,,https://media.indomio.es/text/tel_95939101_96532.jpg?k=4c1dfd5cbfdc52a1dd667287dc247e67,,A Graña
237,420.000,2,Casa unifamiliar,https://www.indomio.es/anuncios/95226813/,Porto Do Son,Venta,,,5,Parada
160,318.000,3,Chalet ,https://www.indomio.es/anuncios/94809547/,Sada (A Coruña),Venta,,,8,Camiño Praia de Cirro
100,167.000,2,Piso ,https://www.indomio.es/anuncios/93976991/,Pontedeume,Venta,,https://media.indomio.es/text/tel_93976991_5751b.jpg?k=62447d58f3c54c166d83f62974e4cd4d,6,Rúa Fontenova
180,516.000,3,Casa unifamiliar,https://www.indomio.es/anuncios/95220801/,Ribeira,Venta,,,7,Rúa Norte -  Palmeiras
188,495.000,3,Chalet ,https://www.indomio.es/anuncios/94463359/,Ribeira,Venta | Inmueble con ingresos,,https://media.indomio.es/text/tel_94463359_7f205.jpg?k=625adcb40090a67512be832807159288,6,Rúa Norte -  Palmeiras
200,50.000,2,Casa adosada,https://www.indomio.es/anuncios/91152505/,Pontedeume,Venta,,,9,Rúa Porto
120,165.000,1,Piso ,https://www.indomio.es/anuncios/94743455/,Santiago de Compostela,Venta,,https://media.indomio.es/text/tel_94743455_0e03d.jpg?k=6c576ce1f8e0352c5afb61241884f36f,1,Praza Nosa Señora da Merced de Conxo -  Conxo-Castiñeiriño
70,40.000,1,Casa adosada ,https://www.indomio.es/anuncios/94023507/,Vilasantar,Venta,,,4,Lugar Foro
115,160.000,2,Piso ,https://www.indomio.es/anuncios/95281839/,Noia,Venta | Alquiler con opción a compra,,,6,Rúa Fray Luis Rodríguez
592,399.500,3,Casa unifamiliar ,https://www.indomio.es/anuncios/94998369/,Noia,Venta,,https://media.indomio.es/text/tel_94998369_8adc4.jpg?k=0dfcf60cfdb99265fbfc88bd6d9e18dd,8,AC-550
100,130.000,1,Casa rústica ,https://www.indomio.es/anuncios/95039561/,O Pino,Venta,,https://media.indomio.es/text/tel_95039561_50858.jpg?k=a2bcc472e157efdbf99c986fd086a1e3,4,San Migueliño
213,250.000,2,Casa rústica ,https://www.indomio.es/anuncios/91014567/,Ortigueira,Venta | Inmueble con ingresos,,,6,Susaído
160,285.000,3,Ático ,https://www.indomio.es/anuncios/79483119/,Ferrol,Venta | Alquiler con opción a compra,Maria de la O,,8,Rúa Doutor Rey Romalde -  Canido
250,120.000,1,Casa unifamiliar ,https://www.indomio.es/anuncios/92888613/,Fene,Venta,Sonia Lopez Marcote,https://media.indomio.es/text/tel_92888613_0f3e3.jpg?k=7434f3ea59200603b7bb3cea83ad1ea0,5,Estrada do Peirao
160,158.400,2,Piso ,https://www.indomio.es/anuncios/92527023/,Fisterra,Venta,,,9,Rúa Ara Solís
65,78.700,1,Piso ,https://www.indomio.es/anuncios/93594153/,Fisterra,Venta,,https://media.indomio.es/text/tel_93594153_318df.jpg?k=c6d3434a29827677d97007b8a92ff1a6,3,Lugar Anchoa
140,98.000,1,Casa unifamiliar ,https://www.indomio.es/anuncios/88961093/,Moeche,Venta,,,3,A Igrexa
87,179.000,1,Piso ,https://www.indomio.es/anuncios/92422379/,A Coruña,Venta,,,6,Rúa Ramón Menéndez Pidal -  Os Mallos-A Falperra
90,171.000,2,Piso ,https://www.indomio.es/anuncios/92294379/,A Coruña,Venta | Alquiler con opción a compra,,https://media.indomio.es/text/tel_92294379_70710.jpg?k=04d90c8ca8c6876bec8440e6b5d699d1,5,Rúa Francisco Catoira -  Os Mallos-A Falperra
