meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
600,450000,3,Actividad comercial ,https://www.indomio.es/anuncios/92198181/,O Pino,Venta | Alquiler con opción a compra,,607835354,7,Avenida Lugo - Hotel en Venta
3000,1000000,,Actividad comercial ,https://www.indomio.es/anuncios/92855219/,Oroso,Venta | Alquiler con opción a compra,,667272020,6,Os Carballos - Hotel en Venta
67,30000,1,Actividad comercial con taller ,https://www.indomio.es/anuncios/95442133/,Tarragona,Venta,,,1,Carrer del Riu Montsant
250,160000,1,Actividad comercial ,https://www.indomio.es/anuncios/94728479/,Vila-seca,Venta,,620877501,1,Carrer d'Amadeu Vives
211,170000,2,Actividad comercial ,https://www.indomio.es/anuncios/90559909/,Bollullos de la Mitación,Venta,,696426045,8,Paseo Bollullos de la Mitación - Concesionario en Venta
55,56000,2,Actividad comercial ,https://www.indomio.es/anuncios/95518923/,Sevilla,Venta,,686003722,5,Doctor Frediani - Calle Diego Puerta
74,99999,1,Actividad comercial ,https://www.indomio.es/anuncios/92892627/,Ermua,Venta,,679435794,3,Barrio Ongarai - Tienda de alimentación en Venta
400,190000,1,Chalet ,https://www.indomio.es/anuncios/95749107/,Calatayud,Venta,,+39609364367,5,Marivella -  Marivella - Huérmeda - Embid de la Ribera
100,65000,2,Local comercial,https://www.indomio.es/anuncios/94419243/,Zaragoza,Venta,,,5,Calle Obispo Tajón
60,120000,1,Actividad comercial ,https://www.indomio.es/anuncios/91799869/,Santurtzi,Venta,,630745127,4,Calle Itsasalde - Centro estético en Venta
65,89000,1,Piso ,https://www.indomio.es/anuncios/81963021/,Zamora,Venta,,660032779,3,Avenida de Valladolid -  Ciudad Jardín-Vista Alegre
244,625000,3,Casa adosada ,https://www.indomio.es/anuncios/94900169/,Urduliz,Venta,antonio sanchez trigueros,665717349,7,Calle Torre
110,255000,2,Dúplex ,https://www.indomio.es/anuncios/91794649/,Trapagaran,Venta,,,5,Calle Churruca
75,135000,1,Piso ,https://www.indomio.es/anuncios/95518867/,Trapagaran,Venta,,615757364,5,Grupo Alto Alday
89,185000,1,Piso ,https://www.indomio.es/anuncios/95260801/,Zaragoza,Venta,,616680903,5,Calle Vidal de Canellas -  Delicias
555,65000,,Terreno urbanizable,https://www.indomio.es/anuncios/93440957/,Magallón,Venta,,626546493,,Avenida Borja
110,31000,,Nave,https://www.indomio.es/anuncios/94873425/,Zaragoza,Venta,,626937000,,Calle San Ramón
492,50000,,Terreno urbanizable,https://www.indomio.es/anuncios/93519329/,Fabara,Venta,,628173676,,Calle Penal
420,690000,3,Chalet ,https://www.indomio.es/anuncios/95453529/,Plentzia,Venta,,695698500,8,Barrio Isuskitza
120,225000,2,Piso ,https://www.indomio.es/anuncios/93047529/,Zaragoza,Venta,,686899927,6,Calle Celanova -  Delicias
47,187000,1,Piso ,https://www.indomio.es/anuncios/94003129/,Muskiz,Venta,,,2,Bide Zaharra
80,270000,2,Piso ,https://www.indomio.es/anuncios/92463841/,Santurtzi,Venta,,+34686198724,4,Calle Itsasalde -  Centro
250,185000,2,Chalet ,https://www.indomio.es/anuncios/82746825/,San Cebrián de Castro,Venta,,605992929,7,Calle Zamora
10575,22000,,Plaza de aparcamiento ,https://www.indomio.es/anuncios/90916095/,Zaragoza,Venta,,691346011,,Calle Ildefonso Manuel Gil - Aparcamiento coche - moto en Venta
730,690000,3,Edificio ,https://www.indomio.es/anuncios/89001831/,Aniñón,Venta | Inmueble con ingresos | Alquiler con opción a compra,,,8,Plaza Iglesia - Hotel en Venta
120,90000,2,Local comercial,https://www.indomio.es/anuncios/94820975/,Morales del Vino,Venta,,619542469,2,
123,196500,2,Piso ,https://www.indomio.es/anuncios/92728505/,Benavente,Venta,,639490909,6,Avenida El Ferial
225,75000,2,Local comercial,https://www.indomio.es/anuncios/93585941/,Tarazona,Venta,,917397835,2,Plaza La Seo
120,54999,1,Local comercial,https://www.indomio.es/anuncios/94427359/,Zaragoza,Venta | Alquiler con opción a compra,,,5,Calle Porvenir
13,14000,,Garaje - Aparcamiento ,https://www.indomio.es/anuncios/92202489/,Zaragoza,Venta,,610389245,,Calle Marte - Garaje en Venta
60,80000,2,Local comercial,https://www.indomio.es/anuncios/90802665/,Zaragoza,Venta,,,3,Calle Demetrio Galán Bergua
6,3800,,Plaza de aparcamiento,https://www.indomio.es/anuncios/91987409/,Zaragoza,Venta,,,,Calle de Leopoldo Romeo - Aparcamiento coche - moto en Venta
103,245000,2,Piso ,https://www.indomio.es/anuncios/95557641/,Zaragoza,Venta,,610462978,6,Calle Bolonia -  Centro
225,98000,,Local comercial,https://www.indomio.es/anuncios/91454103/,Tarazona,Venta,,619712424,,Plaza Tarazona
70,35000,1,Taller,https://www.indomio.es/anuncios/89562159/,Zaragoza,Venta,,635444435,,1,Calle Celanova
