meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
,600/mes,,Actividad comercial ,https://www.indomio.es/anuncios/93684537/,Cee,,,,,Rúa Domingo Antonio de Andrade - Peluquería - Barbería en Alquiler
,350000,,Terreno rústico,https://www.indomio.es/anuncios/94729435/,Oleiros,,,,,Rúa Agra dos Regos

'''

meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
64,600/mes,1,Actividad comercial ,https://www.indomio.es/anuncios/93684537/,Cee,Alquiler,,,2,Rúa Domingo Antonio de Andrade - Peluquería - Barbería en Alquiler
meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
64,600/mes,1,Actividad comercial ,https://www.indomio.es/anuncios/93684537/,Cee,Alquiler,,,2,Rúa Domingo Antonio de Andrade
meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
64,600/mes,1,Actividad comercial ,https://www.indomio.es/anuncios/93684537/,Cee,Alquiler,,,2,Rúa Domingo Antonio de Andrade
6100,350000,,Terreno rústico,https://www.indomio.es/anuncios/94729435/,Oleiros,Venta,,,1,Rúa Agra dos Regos
meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
64,600/mes,1,Actividad comercial ,https://www.indomio.es/anuncios/93684537/,Cee,Alquiler,,,2,Rúa Domingo Antonio de Andrade
6100,350000,,Terreno rústico,https://www.indomio.es/anuncios/94729435/,Oleiros,Venta,,,1,Rúa Agra dos Regos
