meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
210,85000,1,Caserío ,https://www.indomio.es/anuncios/92281941/,Vimianzo,Venta,,,4,Campolongo
400,190000,1,Chalet ,https://www.indomio.es/anuncios/95749107/,Calatayud,Venta,,https://media.indomio.es/text/tel_95749107_a3e3f.jpg?k=3503ee0238408d48cdbb054b6746ad63,4,Marivella
70,40000,1,Casa adosada ,https://www.indomio.es/anuncios/94023507/,Vilasantar,Venta,,,3,Lugar Foro
137,55000,1,Casa adosada ,https://www.indomio.es/anuncios/93440835/,Calamocha,Venta,,https://media.indomio.es/text/tel_93440835_1d414.jpg?k=d708b00da23bf397af5d9fd289b151f5,5,Calle Ramón y Cajal
220,319000,3,Casa adosada ,https://www.indomio.es/anuncios/95875061/,Valladolid,Venta,,,5,Calle Hernando de Acuña -  Parquesol
319,110000,2,Casa rústica ,https://www.indomio.es/anuncios/95106111/,Belchite,Venta,,https://media.indomio.es/text/tel_95106111_731dc.jpg?k=32cd32649eef93b305e8fe09c5884860,5,Calle Nuestra Señora del Pueyo
203,125000,2,Casa unifamiliar ,https://www.indomio.es/anuncios/91962997/,Armuña,Venta,,,5,Calle del Corpus
255,20000,,Casa adosada ,https://www.indomio.es/anuncios/94858109/,Verín,Venta,,,,Avenida San Lázaro
101,199000,2,Piso ,https://www.indomio.es/anuncios/95157061/,Valladolid,Venta,Mercedes Peña,https://media.indomio.es/text/tel_95157061_5358f.jpg?k=f1b24e79de58759f247968fc4b9bb124,3,Calle Aneto -  Pinar de Jalón
750,850000,3,Casa rústica ,https://www.indomio.es/anuncios/91663985/,Muñoveros,Venta,,,5,Plaza Sol
180,24000,,Casa rústica ,https://www.indomio.es/anuncios/94031163/,Vilamarín,Venta,Gerard Blanco Bach,https://media.indomio.es/text/tel_94031163_39d6b.jpg?k=958b629f62ca8c05a55374514d6a5bfe,,Vilamarín
89,185000,1,Piso ,https://www.indomio.es/anuncios/95260801/,Zaragoza,Venta,,https://media.indomio.es/text/tel_95260801_b8366.jpg?k=33f132afbfa3884078e7dd963e7e9f90,4,Calle Vidal de Canellas -  Delicias
225,29000,1,Casa unifamiliar ,https://www.indomio.es/anuncios/91704155/,Alloza,Venta,,,5,Calle Hospital
160,215000,3,Casa adosada ,https://www.indomio.es/anuncios/95336035/,Segovia,Venta,,https://media.indomio.es/text/tel_95336035_e26bb.jpg?k=bc3983f8060d56b7eb1e217a1443f8ca,5,Calle de las Carretas -  Área Rural
124,100000,2,Dúplex ,https://www.indomio.es/anuncios/90987821/,Andorra,Venta,,,5,Avenida Dos de Mayo
120,75000,1,Casa adosada ,https://www.indomio.es/anuncios/96094391/,Xinzo de Limia,Venta,,https://media.indomio.es/text/tel_96094391_0c19a.jpg?k=e883986f7d920be63313850a7580bcbb,2,Morgade
70,90000,1,Piso ,https://www.indomio.es/anuncios/96209897/,Palencia,Venta,,https://media.indomio.es/text/tel_96209897_40fb1.jpg?k=500110f7a58a3adcb9957aafd0272f3e,3,Calle Guzmán El Bueno -  Campo de la Juventud-Santiago
