meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
120,70.000,1,Casa rústica ,https://www.indomio.es/anuncios/90139849/,Yeste,Venta,,,5,CM-3206
4,990.000,3,Edificio ,https://www.indomio.es/anuncios/95776463/,Albacete,Venta | Alquiler con opción a compra,,https://media.indomio.es/text/tel_95776463_aa0da.jpg?k=d519032e2900c108fc9dab6fefcc1764,7,Carretera de Jaén
200,128.000,2,Casa adosada ,https://www.indomio.es/anuncios/92892641/,Albacete,Venta,,https://media.indomio.es/text/tel_92892641_f0bdc.jpg?k=1e820d093f1f12c4ab95c18880a12976,6,Calle Salvador Gimeno -  Pedanías y Barrios Rurales
280,320.000,3,Casa unifamiliar ,https://www.indomio.es/anuncios/93997361/,Albacete,Venta,,,7,Calle Luis Herreros -  Fátima-Franciscanos
100,135.000,2,Piso ,https://www.indomio.es/anuncios/94469373/,Albacete,Venta,,https://media.indomio.es/text/tel_94469373_42a9a.jpg?k=29b529905646e684e501d7c833d99c8c,5,Calle Arquitecto Vandelvira -  Fátima-Franciscanos
320,950.000,,Edificio,https://www.indomio.es/anuncios/95934549/,Albacete,Venta | Alquiler con opción a compra,,https://media.indomio.es/text/tel_95934549_76918.jpg?k=4c038cdf600a19e9e3c8fd919151aa3e,,Calle Francisco Pizarro
290,314.000,3,Casa plurifamiliar ,https://www.indomio.es/anuncios/82577657/,Albacete,Venta,Antonio Gómez,https://media.indomio.es/text/tel_82577657_10112.jpg?k=b428c9a39d4947efd96093c57a4b861d,8,Calle Cristóbal Pérez Pastor -  Pedanías y Barrios Rurales
113,135.000,2,Piso,https://www.indomio.es/anuncios/94757599/,Albacete,Venta,,https://media.indomio.es/text/tel_94757599_94bad.jpg?k=0a5383fe9ea6fb77b49d38b8a1e1e799,6,Plaza de San Juan de Dios -  Fátima-Franciscanos
109,195.000,2,Piso ,https://www.indomio.es/anuncios/91953307/,Albacete,Venta,,https://media.indomio.es/text/tel_91953307_ca3bf.jpg?k=f466d5dcc8b17f1b4bcfdc4b63caa2ac,5,Calle Blasco Ibáñez -  Centro-Villacerrada-Pajarita
120,180.000,2,Piso,https://www.indomio.es/anuncios/91686781/,Albacete,Venta,,,7,Calle Blasco de Garay -  Fátima-Franciscanos
300,145.000,3,Dúplex ,https://www.indomio.es/anuncios/90139591/,Motilleja,Venta,,https://media.indomio.es/text/tel_90139591_a7d45.jpg?k=34a784c167a54fc5f9d9ae6b6b7230c7,7,Calle de los Pozos
100,63.000,,Casa plurifamiliar ,https://www.indomio.es/anuncios/91717487/,Nerpio,Venta,,,8,Plaza Mayor
338,149.000,2,Chalet ,https://www.indomio.es/anuncios/93565671/,Ossa de Montiel,Venta,,https://media.indomio.es/text/tel_93565671_69048.jpg?k=b30f6c0b4580f52134f61fa873356824,7,Calle Fray Manuel de Roán
300,30.000,,Casa rústica ,https://www.indomio.es/anuncios/93830753/,Valdeganga,Venta,,https://media.indomio.es/text/tel_93830753_e11ae.jpg?k=261f13912f4d4105666cbcf0a18c99a9,5,Calle Abadía
110,100.000,1,Piso ,https://www.indomio.es/anuncios/94770431/,Villarrobledo,Venta,Jose Antonio Nieves Escudero,,5,Calle Alfarerías Bajas
120,69.000,2,Piso ,https://www.indomio.es/anuncios/95145425/,Almansa,Venta,,,5,Calle Corredera
70,40.000,1,Piso ,https://www.indomio.es/anuncios/90800417/,Almansa,Venta,,,4,Calle Aniceto Coloma
115,109.000,2,Piso ,https://www.indomio.es/anuncios/89852569/,Almansa,Venta | Alquiler con opción a compra,,,6,Plaza Santiago Bernabéu
235,200.000,3,Chalet ,https://www.indomio.es/anuncios/92460041/,La Roda,Venta,,,8,Calle Almansa
110,150.000,2,Casa adosada ,https://www.indomio.es/anuncios/95997385/,Chinchilla de Monte-Aragón,Venta,,https://media.indomio.es/text/tel_95997385_7f75e.jpg?k=a5452232c929690bb5d571c4479015d6,4,Calle Fernando Núñez Robres
128,78.000,2,Piso ,https://www.indomio.es/anuncios/86410407/,Caudete,Venta,,https://media.indomio.es/text/tel_86410407_6e1c9.jpg?k=c80e6ac436771d56c6f0ca29fe0d2fb7,7,Calle La Huerta
250,187.000,2,Casa unifamiliar ,https://www.indomio.es/anuncios/93171801/,Madrigueras,Venta,,https://media.indomio.es/text/tel_93171801_7ad7f.jpg?k=c069832d33cdc6bc4bfc253ed5f4c412,7,Calle Diseminados
