meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
100,53.000,1,Casa adosada ,https://www.indomio.es/anuncios/93190643/,Cocentaina,Venta,,https://media.indomio.es/text/tel_93190643_e46a1.jpg?k=f8c3b025ce5856681299fc0a9d4e861b,3,Plaza San Isidro
410,1.080,3,Chalet ,https://www.indomio.es/anuncios/92945181/,Calp,Venta,,,8,Urbanización Casanova I -  La Cometa-Carrió Park
150,200.000,2,Chalet,https://www.indomio.es/anuncios/93923523/,Xaló,Venta,,https://media.indomio.es/text/tel_93923523_b1b2c.jpg?k=e9968f7a94e20015099b737df67bdab9,6,Carretera Bèrnia
150,450.000,3,Chalet ,https://www.indomio.es/anuncios/92001771/,Confrides,Venta,,https://media.indomio.es/text/tel_92001771_0de05.jpg?k=dbe5ca12698dafd61e533bbadaa584d0,7,Calle del Molino
125,295.000,2,Casa pareada ,https://www.indomio.es/anuncios/95296971/,El Campello,Venta,,https://media.indomio.es/text/tel_95296971_5cdf3.jpg?k=3b093b9f9f74a6bad3f16e8a679cf4bd,5,Calle Pla del Amerador -  La Almadraba-Coveta Fumà-Amerador
90,190.000,2,Casa pareada ,https://www.indomio.es/anuncios/95824381/,El Campello,Venta | Inmueble con ingresos,,https://media.indomio.es/text/tel_95824381_45dab.jpg?k=b893243c88716859f268f69379780dfe,5,Calle Pla del Amerador -  La Almadraba-Coveta Fumà-Amerador
160,55.000,1,Piso ,https://www.indomio.es/anuncios/94476695/,Dolores,Venta,,,4,Plaza Cardenal Beluga
250,185.000,3,Casa unifamiliar ,https://www.indomio.es/anuncios/93939477/,Sax,Venta,,https://media.indomio.es/text/tel_93939477_ee8c3.jpg?k=74bda2f5400ad8a12623d46c5e49f2f5,7,Calle Fray Luis de Granada
100,165.000,2,Piso ,https://www.indomio.es/anuncios/91373027/,Villajoyosa - La Vila Joiosa,Venta,,https://media.indomio.es/text/tel_91373027_43e0e.jpg?k=de586bdda2ebe493a728abdebbdea4d0,5,Calle Nueve de Octubre -  Montíboli-Playa El Paraíso
130,460.000,2,Ático ,https://www.indomio.es/anuncios/95033333/,Villajoyosa - La Vila Joiosa,Venta,,https://media.indomio.es/text/tel_95033333_cb178.jpg?k=55d1d99ae97a6bef6b102d39d50d8150,5,Calle Siroco -  Cala de Villajoyosa
80,175.000,2,Piso ,https://www.indomio.es/anuncios/95015907/,Villajoyosa - La Vila Joiosa,Venta,,https://media.indomio.es/text/tel_95015907_3f081.jpg?k=6d22992d3a7165f07752f0210fb52ece,4,Calle Barberes -  Casco Antiguo-Playa de Villajoyosa-Zona Puerto
107,178.000,1,Piso ,https://www.indomio.es/anuncios/93382405/,Villajoyosa - La Vila Joiosa,Venta,,https://media.indomio.es/text/tel_93382405_f4573.jpg?k=0c71c1979be199912c58cc8046ee5846,4,Calle Plan P. Paraíso -  Montíboli-Playa El Paraíso
