meters,price,bathrooms,category,link,municipality,operation,owner,phone,rooms,zone
600,450000,3,Actividad comercial ,https://www.indomio.es/anuncios/92198181/,O Pino,Venta | Alquiler con opción a compra,,https://media.indomio.es/text/tel_92198181_f4f54.jpg?k=8316109f2883c73cd92c47b40c0796d3,7,Avenida Lugo - Hotel en Venta
3000,1000000,,Actividad comercial ,https://www.indomio.es/anuncios/92855219/,Oroso,Venta | Alquiler con opción a compra,,https://media.indomio.es/text/tel_92855219_c0a91.jpg?k=ab952ee3adab553f42c7a0cecf23d32b,6,Os Carballos - Hotel en Venta
67,30000,1,Actividad comercial con taller ,https://www.indomio.es/anuncios/95442133/,Tarragona,Venta,,,1,Carrer del Riu Montsant
250,160000,1,Actividad comercial ,https://www.indomio.es/anuncios/94728479/,Vila-seca,Venta,,https://media.indomio.es/text/tel_94728479_f4eb5.jpg?k=4abd4176695c479946191b95da241422,1,Carrer d'Amadeu Vives
211,170000,2,Actividad comercial ,https://www.indomio.es/anuncios/90559909/,Bollullos de la Mitación,Venta,,https://media.indomio.es/text/tel_90559909_0aa31.jpg?k=5519d1b5f09e93dbeee1fae0080179bd,8,Paseo Bollullos de la Mitación - Concesionario en Venta
55,56000,2,Actividad comercial ,https://www.indomio.es/anuncios/95518923/,Sevilla,Venta,,https://media.indomio.es/text/tel_95518923_f9854.jpg?k=c6212680ad686d2e77fe6f01894e58e1,5,Doctor Frediani - Calle Diego Puerta
74,99999,1,Actividad comercial ,https://www.indomio.es/anuncios/92892627/,Ermua,Venta,,https://media.indomio.es/text/tel_92892627_3c554.jpg?k=0d41f3815cd2db9b7d47ddb3e3cf0d8f,3,Barrio Ongarai - Tienda de alimentación en Venta
400,190000,1,Chalet ,https://www.indomio.es/anuncios/95749107/,Calatayud,Venta,,https://media.indomio.es/text/tel_95749107_a3e3f.jpg?k=3503ee0238408d48cdbb054b6746ad63,5,Marivella -  Marivella - Huérmeda - Embid de la Ribera
100,65000,2,Local comercial,https://www.indomio.es/anuncios/94419243/,Zaragoza,Venta,,,5,Calle Obispo Tajón
60,120000,1,Actividad comercial ,https://www.indomio.es/anuncios/91799869/,Santurtzi,Venta,,https://media.indomio.es/text/tel_91799869_e564c.jpg?k=9138de702c951ae0fe1586d5c91644e9,4,Calle Itsasalde - Centro estético en Venta
65,89000,1,Piso ,https://www.indomio.es/anuncios/81963021/,Zamora,Venta,,https://media.indomio.es/text/tel_81963021_e8cc2.jpg?k=420a75ccf00f21b0b065e6905ed2fd5e,3,Avenida de Valladolid -  Ciudad Jardín-Vista Alegre
244,625000,3,Casa adosada ,https://www.indomio.es/anuncios/94900169/,Urduliz,Venta,antonio sanchez trigueros,https://media.indomio.es/text/tel_94900169_42bfd.jpg?k=0168372dd9cb8dc9d46ff607a9772a6e,7,Calle Torre
110,255000,2,Dúplex ,https://www.indomio.es/anuncios/91794649/,Trapagaran,Venta,,,5,Calle Churruca
75,135000,1,Piso ,https://www.indomio.es/anuncios/95518867/,Trapagaran,Venta,,https://media.indomio.es/text/tel_95518867_c1808.jpg?k=7c9b456775d96e659ed2930f83fec686,5,Grupo Alto Alday
89,185000,1,Piso ,https://www.indomio.es/anuncios/95260801/,Zaragoza,Venta,,https://media.indomio.es/text/tel_95260801_b8366.jpg?k=33f132afbfa3884078e7dd963e7e9f90,5,Calle Vidal de Canellas -  Delicias
555,65000,,Terreno urbanizable,https://www.indomio.es/anuncios/93440957/,Magallón,Venta,,https://media.indomio.es/text/tel_93440957_5b19d.jpg?k=f3e787eb817028c16ca873c4dc3d6d4b,,Avenida Borja
110,31000,,Nave,https://www.indomio.es/anuncios/94873425/,Zaragoza,Venta,,https://media.indomio.es/text/tel_94873425_94904.jpg?k=0dfbdcbdbe307bd36820905acfc27fde,,Calle San Ramón
492,50000,,Terreno urbanizable,https://www.indomio.es/anuncios/93519329/,Fabara,Venta,,https://media.indomio.es/text/tel_93519329_a8676.jpg?k=d40da1c5c365ad589c955a25fbb577d8,,Calle Penal
420,690000,3,Chalet ,https://www.indomio.es/anuncios/95453529/,Plentzia,Venta,,https://media.indomio.es/text/tel_95453529_4cff0.jpg?k=73ac5c5f06b5c7ae28b16cb4fbdc516c,8,Barrio Isuskitza
120,225000,2,Piso ,https://www.indomio.es/anuncios/93047529/,Zaragoza,Venta,,https://media.indomio.es/text/tel_93047529_a0180.jpg?k=c99d27ec52f620f9fe282f43a39e1ab5,6,Calle Celanova -  Delicias
47,187000,1,Piso ,https://www.indomio.es/anuncios/94003129/,Muskiz,Venta,,,2,Bide Zaharra
80,270000,2,Piso ,https://www.indomio.es/anuncios/92463841/,Santurtzi,Venta,,https://media.indomio.es/text/tel_92463841_57f2e.jpg?k=8cec15d7e87f0e8b7a05412dcc604ea1,4,Calle Itsasalde -  Centro
250,185000,2,Chalet ,https://www.indomio.es/anuncios/82746825/,San Cebrián de Castro,Venta,,https://media.indomio.es/text/tel_82746825_b827e.jpg?k=535909b0f95165b2b8d8d8ca2fd95eb9,7,Calle Zamora
10575,22000,,Plaza de aparcamiento ,https://www.indomio.es/anuncios/90916095/,Zaragoza,Venta,,https://media.indomio.es/text/tel_90916095_4aa38.jpg?k=98e0e28f294ec5634a75bdafdecd517f,,Calle Ildefonso Manuel Gil - Aparcamiento coche - moto en Venta
730,690000,3,Edificio ,https://www.indomio.es/anuncios/89001831/,Aniñón,Venta | Inmueble con ingresos | Alquiler con opción a compra,,,8,Plaza Iglesia - Hotel en Venta
120,90000,2,Local comercial,https://www.indomio.es/anuncios/94820975/,Morales del Vino,Venta,,https://media.indomio.es/text/tel_94820975_74ed0.jpg?k=9698b8b703666c3c40c60fd048c59787,2,
123,196500,2,Piso ,https://www.indomio.es/anuncios/92728505/,Benavente,Venta,,https://media.indomio.es/text/tel_92728505_93b54.jpg?k=7dd11ad66aaded8435d1a90bad56188a,6,Avenida El Ferial
225,75000,2,Local comercial,https://www.indomio.es/anuncios/93585941/,Tarazona,Venta,,https://media.indomio.es/text/tel_93585941_a6a8b.jpg?k=5191c3ae943edd500aea0a43dbfa4b24,2,Plaza La Seo
120,54999,1,Local comercial,https://www.indomio.es/anuncios/94427359/,Zaragoza,Venta | Alquiler con opción a compra,,,5,Calle Porvenir
13,14000,,Garaje - Aparcamiento ,https://www.indomio.es/anuncios/92202489/,Zaragoza,Venta,,https://media.indomio.es/text/tel_92202489_80c78.jpg?k=8553e59ee07bba28aede137b342ac58b,,Calle Marte - Garaje en Venta
60,80000,2,Local comercial,https://www.indomio.es/anuncios/90802665/,Zaragoza,Venta,,,3,Calle Demetrio Galán Bergua
6,3800,,Plaza de aparcamiento,https://www.indomio.es/anuncios/91987409/,Zaragoza,Venta,,,,Calle de Leopoldo Romeo - Aparcamiento coche - moto en Venta
103,245000,2,Piso ,https://www.indomio.es/anuncios/95557641/,Zaragoza,Venta,,https://media.indomio.es/text/tel_95557641_859eb.jpg?k=646b3253ec2084c807773d28db15fdab,6,Calle Bolonia -  Centro
225,98000,,Local comercial,https://www.indomio.es/anuncios/91454103/,Tarazona,Venta,,https://media.indomio.es/text/tel_91454103_c7087.jpg?k=575cc67aee2a9a62a8ded4ec49e2eefa,,Plaza Tarazona
70,35000,1,Taller,https://www.indomio.es/anuncios/89562159/,Zaragoza,Venta,,https://media.indomio.es/text/tel_89562159_837bd.jpg?k=0c2a9d0bf700997f5860a0a5b593c39a,1,Calle Celanova
107,60000,1,Local comercial,https://www.indomio.es/anuncios/92510251/,Zaragoza,Venta,,https://media.indomio.es/text/tel_92510251_c0253.jpg?k=f15dcbfc958f7634d8a739290f6cbe61,3,Calle Ciudad Fraga
150,185000,1,Local comercial,https://www.indomio.es/anuncios/94110181/,Zaragoza,Venta,,https://media.indomio.es/text/tel_94110181_821cd.jpg?k=a001d118481dea6e2349bef57b0de1ad,1,Calle Ainzón
300,220000,3,Casa rústica ,https://www.indomio.es/anuncios/90675346/,Loiu,Venta,,,9,Calle Bizkaia
14,9000,,Garaje - Aparcamiento ,https://www.indomio.es/anuncios/91656141/,Ejea de los Caballeros,Venta,,,,Calle Isabel La Católica - Garaje en Venta
80,220000,1,Piso ,https://www.indomio.es/anuncios/95039497/,Leioa,Venta,,,4,Kandelazubieta kalea
92,312000,2,Piso ,https://www.indomio.es/anuncios/94992425/,Leioa,Venta,Oscar Garcia,https://media.indomio.es/text/tel_94992425_d8f69.jpg?k=e91826bec70a98babef34866769e88cc,5,Avenida Santa Ana
